iter	Passed	Remaining
0	0	758
1	1	704
2	2	704
3	2	688
4	3	685
5	4	675
6	4	666
7	5	655
8	5	650
9	6	640
10	7	634
11	7	633
12	8	634
13	8	633
14	9	635
15	10	653
16	11	651
17	11	648
18	12	645
19	13	645
20	13	642
21	14	640
22	15	637
23	15	634
24	16	638
25	17	637
26	17	633
27	18	634
28	18	632
29	19	631
30	20	629
31	20	628
32	21	625
33	21	623
34	22	622
35	23	621
36	23	619
37	24	620
38	25	621
39	26	626
40	26	624
41	27	626
42	28	625
43	28	624
44	29	625
45	30	623
46	30	621
47	31	621
48	31	619
49	32	618
50	33	617
51	33	616
52	34	615
53	35	613
54	35	612
55	36	614
56	37	613
57	37	611
58	38	611
59	38	609
60	39	608
61	40	607
62	40	607
63	41	608
64	42	608
65	42	607
66	43	608
67	44	607
68	44	606
69	45	605
70	46	604
71	46	603
72	47	601
73	47	600
74	48	599
75	49	597
76	49	596
77	50	594
78	50	594
79	51	592
80	52	592
81	52	591
82	53	586
83	53	585
84	54	584
85	54	583
86	55	583
87	56	584
88	57	584
89	57	584
90	58	583
91	59	583
92	59	582
93	60	581
94	60	579
95	61	577
96	61	575
97	62	574
98	62	572
99	63	570
100	63	569
101	64	568
102	65	566
103	65	565
104	66	564
105	66	562
106	67	561
107	67	559
108	68	558
109	68	556
110	69	555
111	69	553
112	70	553
113	71	554
114	72	555
115	72	555
116	73	554
117	73	552
118	74	551
119	75	550
120	75	549
121	75	546
122	76	546
123	77	545
124	77	544
125	78	544
126	78	542
127	79	541
128	80	540
129	80	539
130	81	538
131	81	537
132	82	535
133	82	534
134	83	533
135	83	532
136	84	531
137	84	529
138	85	528
139	86	528
140	86	528
141	87	526
142	87	525
143	88	524
144	88	523
145	89	522
146	89	521
147	90	520
148	90	519
149	91	518
150	91	517
151	92	517
152	93	516
153	93	515
154	94	514
155	94	513
156	95	512
157	95	511
158	96	510
159	97	509
160	97	507
161	97	506
162	98	505
163	98	504
164	99	503
165	100	502
166	100	501
167	101	501
168	101	500
169	102	499
170	102	498
171	103	497
172	103	496
173	104	495
174	105	495
175	105	494
176	106	493
177	106	492
178	107	492
179	107	491
180	108	490
181	108	489
182	109	488
183	109	487
184	110	486
185	110	485
186	111	484
187	112	483
188	112	483
189	113	482
190	113	481
191	114	481
192	114	480
193	115	479
194	116	479
195	116	478
196	117	478
197	117	477
198	118	476
199	119	478
200	120	477
201	121	478
202	121	477
203	122	478
204	123	477
205	123	476
206	124	475
207	124	474
208	125	473
209	125	472
210	126	472
211	126	471
212	127	471
213	128	471
214	129	471
215	129	470
216	130	469
217	130	468
218	131	467
219	131	467
220	132	467
221	133	466
222	133	466
223	134	466
224	135	466
225	136	466
226	136	465
227	137	465
228	138	465
229	138	464
230	139	463
231	139	462
232	140	461
233	140	460
234	141	460
235	142	459
236	142	459
237	143	458
238	143	457
239	144	456
240	144	455
241	145	454
242	145	454
243	146	453
244	147	453
245	148	453
246	148	452
247	149	452
248	149	451
249	150	450
250	150	450
251	151	449
252	151	448
253	152	447
254	152	446
255	153	446
256	154	445
257	154	445
258	155	444
259	156	444
260	156	443
261	157	442
262	157	442
263	158	441
264	158	440
265	159	439
266	159	439
267	160	438
268	161	438
269	161	437
270	162	437
271	163	436
272	163	435
273	164	435
274	165	435
275	165	434
276	166	433
277	166	433
278	167	432
279	167	431
280	168	430
281	169	430
282	169	429
283	170	428
284	170	428
285	171	427
286	171	426
287	172	426
288	172	425
289	173	424
290	173	423
291	174	422
292	174	422
293	175	421
294	176	420
295	176	420
296	177	419
297	178	419
298	178	418
299	179	418
300	179	417
301	180	416
302	180	416
303	181	415
304	182	414
305	182	414
306	183	413
307	183	412
308	184	412
309	184	411
310	185	410
311	185	410
312	186	409
313	186	408
314	187	407
315	188	407
316	188	406
317	189	405
318	189	404
319	190	404
320	190	403
321	191	402
322	192	402
323	192	402
324	193	401
325	193	400
326	194	399
327	194	399
328	195	398
329	195	397
330	196	396
331	197	396
332	197	395
333	198	395
334	198	394
335	199	393
336	199	392
337	200	392
338	200	391
339	201	390
340	201	390
341	202	389
342	202	388
343	203	387
344	204	387
345	204	386
346	205	386
347	205	385
348	206	384
349	207	384
350	207	384
351	208	383
352	208	382
353	209	381
354	209	381
355	210	380
356	210	379
357	211	379
358	211	378
359	212	377
360	213	377
361	213	376
362	214	375
363	214	375
364	215	374
365	215	373
366	216	372
367	216	372
368	217	371
369	217	370
370	218	370
371	218	369
372	219	368
373	220	368
374	220	367
375	221	366
376	221	366
